test_error,,morpheus-multi,morpheus-multi,morpheus-multi
,,Clean,Noisy,Difference
direction,Model,,,
En-De,m2m100-base,29.24,21.36,7.88
En-De,m2m100-clean,33.11,25.43,7.69
En-De,m2m100-noisy,31.99,32.0,-0.01
En-De,mbart-base,34.18,24.18,10.0
En-De,mbart-clean,35.45,26.43,9.02
En-De,mbart-noisy,34.12,33.76,0.36
En-De,nllb-base,33.72,25.95,7.77
En-De,nllb-clean,36.77,28.8,7.96
En-De,nllb-noisy,35.26,34.85,0.41
En-De,opus-base,36.61,25.8,10.81
En-De,opus-clean,38.22,28.02,10.2
En-De,opus-noisy,36.9,35.64,1.26
En-Es,m2m100-base,39.9,28.97,10.93
En-Es,m2m100-clean,44.91,33.41,11.51
En-Es,m2m100-noisy,43.39,42.83,0.55
En-Es,mbart-base,44.59,32.44,12.15
En-Es,mbart-clean,47.42,35.16,12.25
En-Es,mbart-noisy,46.07,45.37,0.7
En-Es,nllb-base,44.87,33.45,11.42
En-Es,nllb-clean,48.11,35.8,12.31
En-Es,nllb-noisy,46.36,45.86,0.51
En-Es,opus-base,47.79,33.39,14.39
En-Es,opus-clean,49.05,35.52,13.53
En-Es,opus-noisy,47.47,46.21,1.27
En-It,m2m100-base,26.12,19.22,6.9
En-It,m2m100-clean,34.17,26.28,7.89
En-It,m2m100-noisy,32.45,32.45,-0.0
En-It,mbart-base,23.89,17.22,6.67
En-It,mbart-clean,33.8,25.46,8.34
En-It,mbart-noisy,32.31,31.69,0.62
En-It,nllb-base,30.56,22.68,7.88
En-It,nllb-clean,33.21,25.29,7.93
En-It,nllb-noisy,32.09,31.35,0.74
En-It,opus-base,32.17,22.56,9.62
En-It,opus-clean,32.71,24.86,7.85
En-It,opus-noisy,31.84,31.05,0.79
En-Nl,m2m100-base,29.76,22.85,6.92
En-Nl,m2m100-clean,35.01,28.13,6.88
En-Nl,m2m100-noisy,33.82,33.49,0.33
En-Nl,mbart-base,25.38,19.64,5.74
En-Nl,mbart-clean,34.52,27.54,6.97
En-Nl,mbart-noisy,33.49,33.16,0.33
En-Nl,nllb-base,34.47,28.31,6.17
En-Nl,nllb-clean,37.63,31.16,6.47
En-Nl,nllb-noisy,36.41,35.91,0.5
En-Nl,opus-base,37.51,27.18,10.34
En-Nl,opus-clean,38.65,29.58,9.07
En-Nl,opus-noisy,37.72,36.67,1.05
Fr-Es,m2m100-base,29.47,23.76,5.72
Fr-Es,m2m100-clean,32.56,27.89,4.67
Fr-Es,m2m100-noisy,32.7,32.16,0.54
Fr-Es,mbart-base,27.12,19.89,7.23
Fr-Es,mbart-clean,30.85,25.87,4.98
Fr-Es,mbart-noisy,30.84,30.28,0.57
Fr-Es,nllb-base,31.53,25.86,5.67
Fr-Es,nllb-clean,34.52,28.89,5.63
Fr-Es,nllb-noisy,33.96,33.71,0.25
Fr-Es,opus-base,33.41,27.81,5.61
Fr-Es,opus-clean,35.16,29.87,5.29
Fr-Es,opus-noisy,34.62,33.55,1.07
