test_error,,morpheus-multi,morpheus-multi,morpheus-multi
,,Clean,Noisy,Difference
direction,Model,,,
En-De,m2m100-base,58.75,54.67,4.08
En-De,m2m100-clean,62.58,58.5,4.08
En-De,m2m100-noisy,61.98,61.9,0.08
En-De,mbart-base,62.78,57.85,4.93
En-De,mbart-clean,63.92,59.45,4.47
En-De,mbart-noisy,63.11,62.79,0.32
En-De,nllb-base,62.03,57.9,4.14
En-De,nllb-clean,64.6,60.63,3.96
En-De,nllb-noisy,63.86,63.5,0.36
En-De,opus-base,64.22,58.67,5.55
En-De,opus-clean,65.58,60.57,5.0
En-De,opus-noisy,64.81,64.07,0.74
En-Es,m2m100-base,64.95,58.96,5.99
En-Es,m2m100-clean,68.3,62.25,6.05
En-Es,m2m100-noisy,67.54,67.16,0.38
En-Es,mbart-base,68.24,61.81,6.43
En-Es,mbart-clean,69.75,63.33,6.42
En-Es,mbart-noisy,69.07,68.64,0.43
En-Es,nllb-base,68.28,62.24,6.04
En-Es,nllb-clean,70.31,64.08,6.24
En-Es,nllb-noisy,69.52,69.12,0.4
En-Es,opus-base,70.0,62.56,7.44
En-Es,opus-clean,70.87,63.87,7.0
En-Es,opus-noisy,70.07,69.19,0.88
En-It,m2m100-base,57.94,53.28,4.65
En-It,m2m100-clean,61.83,57.23,4.6
En-It,m2m100-noisy,60.92,60.86,0.06
En-It,mbart-base,55.63,51.24,4.39
En-It,mbart-clean,61.43,56.53,4.9
En-It,mbart-noisy,60.63,60.26,0.37
En-It,nllb-base,60.41,55.6,4.81
En-It,nllb-clean,62.51,57.94,4.57
En-It,nllb-noisy,61.88,61.47,0.41
En-It,opus-base,61.9,55.87,6.03
En-It,opus-clean,62.49,57.6,4.88
En-It,opus-noisy,62.03,61.46,0.57
En-Nl,m2m100-base,59.23,55.71,3.52
En-Nl,m2m100-clean,63.2,59.73,3.47
En-Nl,m2m100-noisy,62.72,62.52,0.2
En-Nl,mbart-base,55.11,52.1,3.0
En-Nl,mbart-clean,63.05,59.5,3.55
En-Nl,mbart-noisy,62.41,62.16,0.25
En-Nl,nllb-base,62.71,59.46,3.26
En-Nl,nllb-clean,65.28,61.91,3.37
En-Nl,nllb-noisy,64.57,64.21,0.36
En-Nl,opus-base,64.74,59.42,5.33
En-Nl,opus-clean,65.78,61.09,4.7
En-Nl,opus-noisy,65.3,64.73,0.57
Fr-Es,m2m100-base,56.84,53.71,3.13
Fr-Es,m2m100-clean,59.04,56.39,2.65
Fr-Es,m2m100-noisy,59.15,58.82,0.33
Fr-Es,mbart-base,52.04,46.66,5.37
Fr-Es,mbart-clean,57.82,54.95,2.87
Fr-Es,mbart-noisy,57.69,57.38,0.31
Fr-Es,nllb-base,57.98,54.73,3.25
Fr-Es,nllb-clean,60.33,57.3,3.03
Fr-Es,nllb-noisy,59.93,59.74,0.19
Fr-Es,opus-base,59.03,55.92,3.11
Fr-Es,opus-clean,60.75,57.82,2.93
Fr-Es,opus-noisy,60.3,59.68,0.62
